Day-Ahead or Real-Time,timestamp,price
Real-Time Daily Average Prices,9/9/2024 0:00,1.3
Real-Time Daily Average Prices,9/9/2024 1:00,1.2
Real-Time Daily Average Prices,9/9/2024 2:00,1.2
Real-Time Daily Average Prices,9/9/2024 3:00,1.1
Real-Time Daily Average Prices,9/9/2024 4:00,1.1
Real-Time Daily Average Prices,9/9/2024 5:00,1.3
Real-Time Daily Average Prices,9/9/2024 6:00,3
Real-Time Daily Average Prices,9/9/2024 7:00,2.9
Real-Time Daily Average Prices,9/9/2024 8:00,1.7
Real-Time Daily Average Prices,9/9/2024 9:00,1.6
Real-Time Daily Average Prices,9/9/2024 10:00,2.2
Real-Time Daily Average Prices,9/9/2024 11:00,1.5
Real-Time Daily Average Prices,9/9/2024 12:00,1.4
Real-Time Daily Average Prices,9/9/2024 13:00,1.8
Real-Time Daily Average Prices,9/9/2024 14:00,1.9
Real-Time Daily Average Prices,9/9/2024 15:00,1.7
Real-Time Daily Average Prices,9/9/2024 16:00,1.7
Real-Time Daily Average Prices,9/9/2024 17:00,4.4
Real-Time Daily Average Prices,9/9/2024 18:00,3.8
Real-Time Daily Average Prices,9/9/2024 19:00,3.6
Real-Time Daily Average Prices,9/9/2024 20:00,3.9
Real-Time Daily Average Prices,9/9/2024 21:00,2.4
Real-Time Daily Average Prices,9/9/2024 22:00,2.3
Real-Time Daily Average Prices,9/9/2024 23:00,2.1
Real-Time Daily Average Prices,9/8/2024 0:00,1.2
Real-Time Daily Average Prices,9/8/2024 1:00,1.2
Real-Time Daily Average Prices,9/8/2024 2:00,1.2
Real-Time Daily Average Prices,9/8/2024 3:00,1.1
Real-Time Daily Average Prices,9/8/2024 4:00,1.1
Real-Time Daily Average Prices,9/8/2024 5:00,1.1
Real-Time Daily Average Prices,9/8/2024 6:00,1.1
Real-Time Daily Average Prices,9/8/2024 7:00,1.1
Real-Time Daily Average Prices,9/8/2024 8:00,1
Real-Time Daily Average Prices,9/8/2024 9:00,0.8
Real-Time Daily Average Prices,9/8/2024 10:00,1
Real-Time Daily Average Prices,9/8/2024 11:00,1
Real-Time Daily Average Prices,9/8/2024 12:00,1
Real-Time Daily Average Prices,9/8/2024 13:00,1.1
Real-Time Daily Average Prices,9/8/2024 14:00,1.1
Real-Time Daily Average Prices,9/8/2024 15:00,1.2
Real-Time Daily Average Prices,9/8/2024 16:00,1.4
Real-Time Daily Average Prices,9/8/2024 17:00,2.3
Real-Time Daily Average Prices,9/8/2024 18:00,1.8
Real-Time Daily Average Prices,9/8/2024 19:00,2.8
Real-Time Daily Average Prices,9/8/2024 20:00,3.9
Real-Time Daily Average Prices,9/8/2024 21:00,1.8
Real-Time Daily Average Prices,9/8/2024 22:00,1.4
Real-Time Daily Average Prices,9/8/2024 23:00,1.7
Real-Time Daily Average Prices,9/7/2024 0:00,1.4
Real-Time Daily Average Prices,9/7/2024 1:00,1.7
Real-Time Daily Average Prices,9/7/2024 2:00,2.3
Real-Time Daily Average Prices,9/7/2024 3:00,1.7
Real-Time Daily Average Prices,9/7/2024 4:00,1.6
Real-Time Daily Average Prices,9/7/2024 5:00,1.5
Real-Time Daily Average Prices,9/7/2024 6:00,1.6
Real-Time Daily Average Prices,9/7/2024 7:00,1.4
Real-Time Daily Average Prices,9/7/2024 8:00,1.5
Real-Time Daily Average Prices,9/7/2024 9:00,1.8
Real-Time Daily Average Prices,9/7/2024 10:00,1.5
Real-Time Daily Average Prices,9/7/2024 11:00,1.6
Real-Time Daily Average Prices,9/7/2024 12:00,1.4
Real-Time Daily Average Prices,9/7/2024 13:00,1.5
Real-Time Daily Average Prices,9/7/2024 14:00,1.6
Real-Time Daily Average Prices,9/7/2024 15:00,1.7
Real-Time Daily Average Prices,9/7/2024 16:00,1.4
Real-Time Daily Average Prices,9/7/2024 17:00,1.4
Real-Time Daily Average Prices,9/7/2024 18:00,2.1
Real-Time Daily Average Prices,9/7/2024 19:00,3
Real-Time Daily Average Prices,9/7/2024 20:00,2.1
Real-Time Daily Average Prices,9/7/2024 21:00,1.8
Real-Time Daily Average Prices,9/7/2024 22:00,1.5
Real-Time Daily Average Prices,9/7/2024 23:00,1.5
Real-Time Daily Average Prices,9/6/2024 0:00,2
Real-Time Daily Average Prices,9/6/2024 1:00,1.6
Real-Time Daily Average Prices,9/6/2024 2:00,1.3
Real-Time Daily Average Prices,9/6/2024 3:00,1.4
Real-Time Daily Average Prices,9/6/2024 4:00,1.5
Real-Time Daily Average Prices,9/6/2024 5:00,1.7
Real-Time Daily Average Prices,9/6/2024 6:00,3.5
Real-Time Daily Average Prices,9/6/2024 7:00,2
Real-Time Daily Average Prices,9/6/2024 8:00,2.1
Real-Time Daily Average Prices,9/6/2024 9:00,1.9
Real-Time Daily Average Prices,9/6/2024 10:00,1.8
Real-Time Daily Average Prices,9/6/2024 12:00,2.5
Real-Time Daily Average Prices,9/6/2024 13:00,2.2
Real-Time Daily Average Prices,9/6/2024 14:00,3.1
Real-Time Daily Average Prices,9/6/2024 15:00,2.2
Real-Time Daily Average Prices,9/6/2024 16:00,1.8
Real-Time Daily Average Prices,9/6/2024 17:00,2
Real-Time Daily Average Prices,9/6/2024 18:00,2.2
Real-Time Daily Average Prices,9/6/2024 19:00,2.1
Real-Time Daily Average Prices,9/6/2024 20:00,2.4
Real-Time Daily Average Prices,9/6/2024 21:00,2.5
Real-Time Daily Average Prices,9/6/2024 22:00,3.2
Real-Time Daily Average Prices,9/6/2024 23:00,3
Real-Time Daily Average Prices,9/5/2024 0:00,1.2
Real-Time Daily Average Prices,9/5/2024 1:00,1.4
Real-Time Daily Average Prices,9/5/2024 2:00,1.2
Real-Time Daily Average Prices,9/5/2024 3:00,1.1
Real-Time Daily Average Prices,9/5/2024 4:00,1.1
Real-Time Daily Average Prices,9/5/2024 5:00,1.3
Real-Time Daily Average Prices,9/5/2024 6:00,2.2
Real-Time Daily Average Prices,9/5/2024 7:00,1.9
Real-Time Daily Average Prices,9/5/2024 8:00,2.2
Real-Time Daily Average Prices,9/5/2024 9:00,3.5
Real-Time Daily Average Prices,9/5/2024 10:00,2.2
Real-Time Daily Average Prices,9/5/2024 11:00,2.7
